"iter","likes","model","workstation"
1,1697.71,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
2,1819.8,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
3,1649.43,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
4,1678.7,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
5,1648.62,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
6,1697.71,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
7,1648.99,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
8,1651.87,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
9,1646.28,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
10,1650.24,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
11,1697.71,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
12,1649.36,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
13,1647.53,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
14,1650.48,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
15,1650.53,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
16,1697.71,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
17,1650.31,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
18,1649.43,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
19,1648.41,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
20,1647.17,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
21,1697.71,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
22,1649.24,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
23,1650.85,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
24,1653.9,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
25,1686.92,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
26,1697.71,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
27,1819.8,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
28,1662.2,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
29,1651.02,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
30,1648.87,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
31,1697.71,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
32,1657.38,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
33,1649.8,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
34,1652.52,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
35,1729.66,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
36,1697.71,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
37,1752.14,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
38,321292,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
39,1649.89,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
40,1649.28,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
41,1697.71,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
42,1673.54,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
43,1648.27,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
44,1649.27,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
45,1676.39,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
46,1697.71,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
47,1652.22,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
48,1651.43,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
49,1648.05,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
50,1649.8,"model/day5base_scen4_F25fixed_jitter_50/","yellow"
