"Fleet","Fleet_Name","Yr","Seas","2dAR off","base2026","No age sel","sigma_down.25","sigma_up.25"
3,"F3_JPLL_A13_Q3_wt",2010,3,41.719,37.64,39.107,40.002,35.531
3,"F3_JPLL_A13_Q3_wt",2011,3,24.24,25.421,24.328,24.746,25.902
3,"F3_JPLL_A13_Q3_wt",2012,3,17.452,17.791,17.549,17.881,17.729
3,"F3_JPLL_A13_Q3_wt",2013,3,39.05,46.195,42.207,43.611,47.818
3,"F3_JPLL_A13_Q3_wt",2014,3,14.149,12.899,13.461,13.347,12.706
3,"F3_JPLL_A13_Q3_wt",2015,3,20.075,19.763,19.648,20.011,19.671
3,"F3_JPLL_A13_Q3_wt",2016,3,31.407,32.788,31.02,33.23,31.869
3,"F3_JPLL_A13_Q3_wt",2017,3,18.636,19.191,18.941,18.987,19.259
3,"F3_JPLL_A13_Q3_wt",2018,3,11.466,11.732,11.668,11.632,11.81
3,"F3_JPLL_A13_Q3_wt",2019,3,11.721,12.231,11.048,11.984,12.27
3,"F3_JPLL_A13_Q3_wt",2020,3,23.725,24.321,24.599,23.519,24.976
3,"F3_JPLL_A13_Q3_wt",2021,3,23.253,22.646,23.172,23.176,22.273
3,"F3_JPLL_A13_Q3_wt",2022,3,23.259,27.079,23.768,25.65,27.506
3,"F3_JPLL_A13_Q3_wt",2023,3,10.943,12.333,10.868,11.799,12.488
3,"F3_JPLL_A13_Q3_wt",2024,3,37.72,37.766,39.699,36.669,38.729
4,"F4_JPLL_A13_Q4_wt",1996,4,23.176,23.542,24.873,23.759,23.35
4,"F4_JPLL_A13_Q4_wt",1999,4,69.366,80.742,66.504,70.858,88.543
4,"F4_JPLL_A13_Q4_wt",2000,4,47.671,51.801,45.826,48.886,55.184
4,"F4_JPLL_A13_Q4_wt",2001,4,344.052,308.046,304.536,323.685,311.726
4,"F4_JPLL_A13_Q4_wt",2002,4,20.912,23.938,23.066,22.396,25.009
4,"F4_JPLL_A13_Q4_wt",2003,4,34.815,43.123,37.394,38.928,46.02
4,"F4_JPLL_A13_Q4_wt",2004,4,101.725,137.736,103.753,118.594,150.061
4,"F4_JPLL_A13_Q4_wt",2005,4,37.673,43.472,38.059,40.555,45.471
4,"F4_JPLL_A13_Q4_wt",2006,4,94.658,106.012,100.651,101.465,107.513
4,"F4_JPLL_A13_Q4_wt",2007,4,360.418,374.787,460.57,388.88,359.497
4,"F4_JPLL_A13_Q4_wt",2008,4,110.074,91.534,106.1,98.901,87.986
4,"F4_JPLL_A13_Q4_wt",2009,4,319.721,314.646,302.82,318.943,312.503
4,"F4_JPLL_A13_Q4_wt",2010,4,83.306,75.58,85.301,80.033,71.702
4,"F4_JPLL_A13_Q4_wt",2011,4,133.109,137.01,140.868,133.004,139.019
4,"F4_JPLL_A13_Q4_wt",2012,4,80.987,87.61,87.04,85.53,89.673
4,"F4_JPLL_A13_Q4_wt",2013,4,35.228,35.24,37.08,35.258,35.072
4,"F4_JPLL_A13_Q4_wt",2014,4,140.748,117.392,142.468,125.299,114.168
4,"F4_JPLL_A13_Q4_wt",2015,4,82.774,84.642,86.105,89.183,81.571
4,"F4_JPLL_A13_Q4_wt",2016,4,67.952,70.888,66.329,64.807,75.86
4,"F4_JPLL_A13_Q4_wt",2017,4,291.743,249.634,332.648,293.3,215.703
4,"F4_JPLL_A13_Q4_wt",2018,4,241.495,217.162,260.157,223.101,217.273
4,"F4_JPLL_A13_Q4_wt",2019,4,93.457,112.949,86.39,102.863,120.156
4,"F4_JPLL_A13_Q4_wt",2020,4,70.762,78.414,74.803,74.643,81.273
4,"F4_JPLL_A13_Q4_wt",2021,4,48.263,50.001,49.741,48.724,50.756
4,"F4_JPLL_A13_Q4_wt",2022,4,46.428,50.089,46.273,48.828,50.61
4,"F4_JPLL_A13_Q4_wt",2023,4,20.656,25.555,21.641,23.539,26.394
4,"F4_JPLL_A13_Q4_wt",2024,4,33.233,32.06,33.832,32.349,31.972
9,"F9_JPLL_A2_Q1_wt",1994,1,57.71,61.291,59.398,56.576,63.976
9,"F9_JPLL_A2_Q1_wt",1996,1,51.545,58.001,57.06,57.028,58.317
9,"F9_JPLL_A2_Q1_wt",1997,1,46.135,40.108,39.727,39.519,38.389
9,"F9_JPLL_A2_Q1_wt",1999,1,50.245,47.261,50.99,51.41,44.013
9,"F9_JPLL_A2_Q1_wt",2000,1,49.107,53.855,48.932,50.986,55.072
9,"F9_JPLL_A2_Q1_wt",2001,1,194.044,197.443,172.878,196.158,200.334
9,"F9_JPLL_A2_Q1_wt",2002,1,595.583,538.884,530.375,558.639,537.945
9,"F9_JPLL_A2_Q1_wt",2003,1,182.818,239.782,223.982,213.623,251.76
9,"F9_JPLL_A2_Q1_wt",2004,1,59.88,73.801,60.74,67.866,76.408
9,"F9_JPLL_A2_Q1_wt",2005,1,73.711,96.19,74.29,84.976,103.563
9,"F9_JPLL_A2_Q1_wt",2006,1,91.724,112.203,94.884,105.392,116.174
9,"F9_JPLL_A2_Q1_wt",2007,1,57.537,67.003,59.104,64.542,68.076
9,"F9_JPLL_A2_Q1_wt",2008,1,127.007,149.293,130.338,140.886,152.615
9,"F9_JPLL_A2_Q1_wt",2009,1,102.317,89.279,101.313,96.56,85.524
9,"F9_JPLL_A2_Q1_wt",2010,1,327.259,341.835,351.622,334.451,341.328
9,"F9_JPLL_A2_Q1_wt",2011,1,102.898,97.31,104.571,99.426,93.902
9,"F9_JPLL_A2_Q1_wt",2012,1,101.158,109.365,103.797,105.164,111.309
9,"F9_JPLL_A2_Q1_wt",2013,1,279.545,265.097,261.17,283.699,253.011
9,"F9_JPLL_A2_Q1_wt",2014,1,160.662,145.366,143.177,153.513,140.448
9,"F9_JPLL_A2_Q1_wt",2015,1,370.896,421.177,355.859,406.712,428.681
9,"F9_JPLL_A2_Q1_wt",2016,1,212.999,220.851,217.432,203.706,233.172
9,"F9_JPLL_A2_Q1_wt",2017,1,89.194,85.626,86.691,82.03,88.857
9,"F9_JPLL_A2_Q1_wt",2018,1,167.999,157.287,179.979,156.918,156.446
9,"F9_JPLL_A2_Q1_wt",2019,1,117.002,126.819,116.708,122.798,127.104
9,"F9_JPLL_A2_Q1_wt",2020,1,22.94,24.487,22.11,23.628,25.062
9,"F9_JPLL_A2_Q1_wt",2021,1,46.149,39.486,45.441,43.626,36.826
9,"F9_JPLL_A2_Q1_wt",2022,1,330.523,309.004,328.795,322.781,297.504
9,"F9_JPLL_A2_Q1_wt",2023,1,28.419,32.817,28.901,31.088,33.615
