"base","aspm","aspmr","Label","Yr","recdev"
12.0338,16.2101,12.0755,"SR_LN(R0)",NA,FALSE
0.0649462,0.56787,0.0307601,"SR_regime_BLK1add_1993",1993,FALSE
1.43109,3.81181e-08,0.954005,"InitF_seas_1_flt_26F26_TWLL_A35",NA,FALSE
