"Fleet","Fleet_Name","Yr","Seas","base2026","F10 and S34","F10 and S37","S36 only"
3,"F3_JPLL_A13_Q3_wt",2017,3,19.191,18.808,18.782,19.275
3,"F3_JPLL_A13_Q3_wt",2018,3,11.732,11.501,11.602,11.866
3,"F3_JPLL_A13_Q3_wt",2019,3,12.231,12.377,11.951,11.781
3,"F3_JPLL_A13_Q3_wt",2020,3,24.321,23.581,27.136,25.317
3,"F3_JPLL_A13_Q3_wt",2021,3,22.646,22.855,21.817,22.148
3,"F3_JPLL_A13_Q3_wt",2022,3,27.079,25.47,27.35,28.441
3,"F3_JPLL_A13_Q3_wt",2023,3,12.333,11.84,12.469,12.763
3,"F3_JPLL_A13_Q3_wt",2024,3,37.766,35.136,35.615,40.099
4,"F4_JPLL_A13_Q4_wt",1996,4,23.542,23.68,23.371,25.746
4,"F4_JPLL_A13_Q4_wt",1999,4,80.742,80.362,81.5,69.08
4,"F4_JPLL_A13_Q4_wt",2000,4,51.801,50.308,51.694,51.946
4,"F4_JPLL_A13_Q4_wt",2001,4,308.046,311.156,308.525,338.662
4,"F4_JPLL_A13_Q4_wt",2002,4,23.938,24.942,23.975,23.259
4,"F4_JPLL_A13_Q4_wt",2003,4,43.123,43.526,43.215,42.955
4,"F4_JPLL_A13_Q4_wt",2004,4,137.736,130.335,137.085,144.12
4,"F4_JPLL_A13_Q4_wt",2005,4,43.472,41.563,43.357,44.993
4,"F4_JPLL_A13_Q4_wt",2006,4,106.012,97.573,107.684,111.213
4,"F4_JPLL_A13_Q4_wt",2007,4,374.787,336.278,385.067,365.69
4,"F4_JPLL_A13_Q4_wt",2008,4,91.534,100.473,93.033,98.222
4,"F4_JPLL_A13_Q4_wt",2009,4,314.646,328.456,385.09,309.572
4,"F4_JPLL_A13_Q4_wt",2010,4,75.58,76.217,66.174,76.776
4,"F4_JPLL_A13_Q4_wt",2011,4,137.01,136.863,112.342,134.711
4,"F4_JPLL_A13_Q4_wt",2012,4,87.61,80.798,80.01,84.835
4,"F4_JPLL_A13_Q4_wt",2013,4,35.24,34.701,39.657,35.293
4,"F4_JPLL_A13_Q4_wt",2014,4,117.392,123.358,145.819,119.098
4,"F4_JPLL_A13_Q4_wt",2015,4,84.642,84.903,84.958,84.146
4,"F4_JPLL_A13_Q4_wt",2016,4,70.888,70.09,66.647,70.153
4,"F4_JPLL_A13_Q4_wt",2017,4,249.634,273.316,261.928,248.173
4,"F4_JPLL_A13_Q4_wt",2018,4,217.162,235.391,228.998,210.674
4,"F4_JPLL_A13_Q4_wt",2019,4,112.949,108.443,107.739,106.984
4,"F4_JPLL_A13_Q4_wt",2020,4,78.414,77.031,75.723,79.846
4,"F4_JPLL_A13_Q4_wt",2021,4,50.001,47.523,57.399,54.025
4,"F4_JPLL_A13_Q4_wt",2022,4,50.089,50.087,45.848,48.92
4,"F4_JPLL_A13_Q4_wt",2023,4,25.555,23.837,25.628,28.131
4,"F4_JPLL_A13_Q4_wt",2024,4,32.06,30.969,30.601,32.195
9,"F9_JPLL_A2_Q1_wt",1994,1,61.291,61.42,61.366,63.609
9,"F9_JPLL_A2_Q1_wt",1996,1,58.001,56.647,57.629,57.303
9,"F9_JPLL_A2_Q1_wt",1997,1,40.108,41.226,40.075,43.456
9,"F9_JPLL_A2_Q1_wt",1999,1,47.261,46.875,46.505,57.631
9,"F9_JPLL_A2_Q1_wt",2000,1,53.855,53.021,53.597,55.898
9,"F9_JPLL_A2_Q1_wt",2001,1,197.443,188.476,195.247,266.244
9,"F9_JPLL_A2_Q1_wt",2002,1,538.884,582.335,540.389,640.536
9,"F9_JPLL_A2_Q1_wt",2003,1,239.782,255.488,240.211,228.649
9,"F9_JPLL_A2_Q1_wt",2004,1,73.801,69.819,73.272,79.196
9,"F9_JPLL_A2_Q1_wt",2005,1,96.19,90.678,95.08,103.188
9,"F9_JPLL_A2_Q1_wt",2006,1,112.203,104.176,110.171,120.029
9,"F9_JPLL_A2_Q1_wt",2007,1,67.003,60.226,67.481,73.111
9,"F9_JPLL_A2_Q1_wt",2008,1,149.293,134.959,147.009,135.597
9,"F9_JPLL_A2_Q1_wt",2009,1,89.279,93.048,88.642,98.122
9,"F9_JPLL_A2_Q1_wt",2010,1,341.835,324.073,267.686,341.335
9,"F9_JPLL_A2_Q1_wt",2011,1,97.31,96.169,76.484,95.994
9,"F9_JPLL_A2_Q1_wt",2012,1,109.365,102.038,82.59,103.636
9,"F9_JPLL_A2_Q1_wt",2013,1,265.097,275.765,349.175,287.829
9,"F9_JPLL_A2_Q1_wt",2014,1,145.366,157.652,135.365,151.289
9,"F9_JPLL_A2_Q1_wt",2015,1,421.177,435.608,317.27,440.531
9,"F9_JPLL_A2_Q1_wt",2016,1,220.851,215.372,210.148,218.532
9,"F9_JPLL_A2_Q1_wt",2017,1,85.626,84.583,88.72,85.044
9,"F9_JPLL_A2_Q1_wt",2018,1,157.287,164.589,163.531,156.56
9,"F9_JPLL_A2_Q1_wt",2019,1,126.819,114.378,120.357,133.306
9,"F9_JPLL_A2_Q1_wt",2020,1,24.487,24.459,24.509,24.177
9,"F9_JPLL_A2_Q1_wt",2021,1,39.486,41.798,35.376,36.855
9,"F9_JPLL_A2_Q1_wt",2022,1,309.004,328.196,274.554,283.381
9,"F9_JPLL_A2_Q1_wt",2023,1,32.817,31.141,32.805,34.992
9,"F9_JPLL_A2_Q1_wt",2024,1,56.822,56.535,52.977,52.231
10,"F10_JPLL_A2_Q2_wt_9624",2000,2,31.962,31.37,32.846,27.02
10,"F10_JPLL_A2_Q2_wt_9624",2001,2,126.078,127.452,120.052,160.935
10,"F10_JPLL_A2_Q2_wt_9624",2002,2,242.075,235.547,230.39,280.703
10,"F10_JPLL_A2_Q2_wt_9624",2003,2,16.318,16.405,16.195,15.776
10,"F10_JPLL_A2_Q2_wt_9624",2004,2,251.995,251.98,246.087,252.854
10,"F10_JPLL_A2_Q2_wt_9624",2005,2,87.364,80.922,89.626,96.68
10,"F10_JPLL_A2_Q2_wt_9624",2006,2,100.931,105.586,98.799,96.484
10,"F10_JPLL_A2_Q2_wt_9624",2007,2,90.262,82.192,94.726,97.918
10,"F10_JPLL_A2_Q2_wt_9624",2008,2,67.915,69.05,65.232,61.645
10,"F10_JPLL_A2_Q2_wt_9624",2009,2,161.893,176.64,165.416,180.814
10,"F10_JPLL_A2_Q2_wt_9624",2010,2,525.026,579.97,560.021,576.817
10,"F10_JPLL_A2_Q2_wt_9624",2011,2,91.696,95.333,99.488,95.546
10,"F10_JPLL_A2_Q2_wt_9624",2012,2,79.159,79.313,63.169,78.004
10,"F10_JPLL_A2_Q2_wt_9624",2013,2,402.801,388.653,322.446,381.106
10,"F10_JPLL_A2_Q2_wt_9624",2014,2,391.133,445.067,436.721,445.396
10,"F10_JPLL_A2_Q2_wt_9624",2015,2,142.103,151.516,167.364,141.407
10,"F10_JPLL_A2_Q2_wt_9624",2016,2,270.121,289.548,341.565,260.193
10,"F10_JPLL_A2_Q2_wt_9624",2017,2,142.377,137.088,128.79,141.761
10,"F10_JPLL_A2_Q2_wt_9624",2018,2,164.224,173.049,166.767,160.312
10,"F10_JPLL_A2_Q2_wt_9624",2019,2,134.782,123.991,131.52,128.904
10,"F10_JPLL_A2_Q2_wt_9624",2020,2,234.233,203.478,232.162,233.819
10,"F10_JPLL_A2_Q2_wt_9624",2021,2,33.853,32.31,34.798,35.275
10,"F10_JPLL_A2_Q2_wt_9624",2022,2,108.289,110.547,94.029,107.681
10,"F10_JPLL_A2_Q2_wt_9624",2023,2,21.758,22.269,20.032,19.807
10,"F10_JPLL_A2_Q2_wt_9624",2024,2,51.217,49.585,50.923,55.007
11,"F11_JPLL_A2_Q3_wt",2001,3,168.548,170.865,164.899,216.068
11,"F11_JPLL_A2_Q3_wt",2002,3,96.744,99.277,97.542,103.683
11,"F11_JPLL_A2_Q3_wt",2003,3,73.638,74.929,73.292,71.432
11,"F11_JPLL_A2_Q3_wt",2004,3,143.924,133.506,144.444,153.852
