"Fleet","Fleet_Name","Yr","Seas","base2026","F10 and S34","F10 and S37","S36 only"
21,"F21_JPPL_A35_Q3",1995,3,24.676,24.721,24.925,23.437
21,"F21_JPPL_A35_Q3",1996,3,23.77,23.593,23.752,24.273
21,"F21_JPPL_A35_Q3",1997,3,24.177,24.478,24.12,24.482
21,"F21_JPPL_A35_Q3",1998,3,11.351,11.176,11.324,11.328
21,"F21_JPPL_A35_Q3",1999,3,40.593,41.014,40.947,41.482
21,"F21_JPPL_A35_Q3",2000,3,4.374,4.44,4.373,4.315
21,"F21_JPPL_A35_Q3",2001,3,45.016,48.744,44.71,43.807
21,"F21_JPPL_A35_Q3",2002,3,9.482,9.497,9.517,9.515
21,"F21_JPPL_A35_Q3",2003,3,30.576,31.31,29.932,30.094
21,"F21_JPPL_A35_Q3",2004,3,7.827,7.389,7.92,7.718
21,"F21_JPPL_A35_Q3",2005,3,7.158,7.35,7.112,7.106
21,"F21_JPPL_A35_Q3",2006,3,5.658,5.861,5.629,5.725
21,"F21_JPPL_A35_Q3",2007,3,17.731,17.127,18.57,17.815
21,"F21_JPPL_A35_Q3",2008,3,19.862,19.399,20.427,20.185
21,"F21_JPPL_A35_Q3",2009,3,15.544,15.841,16.676,16.09
21,"F21_JPPL_A35_Q3",2010,3,4.75,4.705,5.095,4.754
21,"F21_JPPL_A35_Q3",2011,3,6.949,6.791,7.03,6.94
21,"F21_JPPL_A35_Q3",2012,3,21.642,20.227,18.088,21.69
21,"F21_JPPL_A35_Q3",2013,3,3.771,3.802,3.741,3.771
21,"F21_JPPL_A35_Q3",2014,3,73.85,73.043,72.894,74.344
21,"F21_JPPL_A35_Q3",2015,3,15.878,15.366,15.975,15.768
21,"F21_JPPL_A35_Q3",2016,3,15.176,15.141,15.154,15.537
21,"F21_JPPL_A35_Q3",2017,3,21.105,21.426,21.248,21.102
21,"F21_JPPL_A35_Q3",2018,3,9.844,10.334,9.426,9.726
21,"F21_JPPL_A35_Q3",2019,3,8.485,8.545,8.157,8.263
21,"F21_JPPL_A35_Q3",2021,3,10.505,10.833,10.889,10.231
21,"F21_JPPL_A35_Q3",2023,3,8.357,8.54,8.993,7.899
21,"F21_JPPL_A35_Q3",2024,3,22.494,20.024,22.224,21.228
22,"F22_JPPL_A35_Q4",1994,4,7.665,7.623,7.696,7.806
22,"F22_JPPL_A35_Q4",1995,4,14.14,14.029,14.201,14.242
22,"F22_JPPL_A35_Q4",1997,4,4.858,4.851,4.863,4.868
22,"F22_JPPL_A35_Q4",2002,4,8.78,8.604,8.871,8.808
22,"F22_JPPL_A35_Q4",2003,4,38.113,37.553,38.413,38.525
22,"F22_JPPL_A35_Q4",2005,4,8.207,8.142,8.241,8.217
22,"F22_JPPL_A35_Q4",2009,4,4.506,4.514,4.507,4.504
22,"F22_JPPL_A35_Q4",2019,4,6.357,6.504,6.906,6.567
22,"F22_JPPL_A35_Q4",2020,4,1.184,1.193,1.184,1.181
23,"F23_JPPL_A24",1994,2,8.88,8.907,8.766,8.952
23,"F23_JPPL_A24",1996,2,9.6,9.55,9.527,9.908
23,"F23_JPPL_A24",1997,2,7.307,7.39,7.285,6.854
23,"F23_JPPL_A24",2002,1,13.542,14.036,13.625,13.65
23,"F23_JPPL_A24",2002,2,6.325,6.186,6.276,6.393
23,"F23_JPPL_A24",2002,4,11.494,11.447,11.494,11.761
23,"F23_JPPL_A24",2003,1,18.465,18.218,18.76,18.576
23,"F23_JPPL_A24",2003,2,12.993,13.315,12.927,12.767
23,"F23_JPPL_A24",2003,4,13.811,13.75,13.709,14.335
23,"F23_JPPL_A24",2004,1,80.397,80.729,78.066,82.809
23,"F23_JPPL_A24",2004,2,21.737,21.722,21.654,21.235
23,"F23_JPPL_A24",2005,1,3.681,3.701,3.687,3.661
23,"F23_JPPL_A24",2005,2,3.911,3.943,3.912,3.881
23,"F23_JPPL_A24",2006,2,14.615,14.802,14.46,14.802
23,"F23_JPPL_A24",2007,2,5.21,5.06,5.293,5.147
23,"F23_JPPL_A24",2009,2,12.224,11.909,11.829,12.241
23,"F23_JPPL_A24",2010,2,10.217,10.024,9.797,10.28
23,"F23_JPPL_A24",2011,2,17.076,16.584,15.765,16.59
23,"F23_JPPL_A24",2011,3,7.329,7.041,7.226,7.223
23,"F23_JPPL_A24",2013,2,5.942,6.084,5.617,5.946
23,"F23_JPPL_A24",2015,2,8.906,9.043,9.119,8.92
23,"F23_JPPL_A24",2015,3,11.27,11.365,10.964,11.372
23,"F23_JPPL_A24",2015,4,7.508,7.533,7.406,7.552
23,"F23_JPPL_A24",2017,2,11.937,11.9,11.715,11.887
23,"F23_JPPL_A24",2021,2,10.33,10.225,10.957,10.417
24,"F24_USLL_A35",1994,4,19.037,18.635,18.834,18.868
24,"F24_USLL_A35",1995,1,27.676,27.719,27.655,28.458
24,"F24_USLL_A35",1995,2,24.565,24.201,24.443,23.977
24,"F24_USLL_A35",1996,3,11.317,11.245,11.293,10.671
24,"F24_USLL_A35",1996,4,38.657,38.453,38.562,35.716
24,"F24_USLL_A35",1997,1,17.127,16.905,17.07,15.574
24,"F24_USLL_A35",1997,2,11.595,11.457,11.565,10.706
24,"F24_USLL_A35",1997,4,63.381,63.971,63.693,69.75
24,"F24_USLL_A35",1998,1,10.162,10.146,10.191,10.354
24,"F24_USLL_A35",1998,3,18.517,18.459,18.433,17.542
24,"F24_USLL_A35",1998,4,67.368,68.487,67.334,71.283
24,"F24_USLL_A35",1999,1,57.349,57.818,57.563,59.438
24,"F24_USLL_A35",1999,2,10.013,10.006,9.968,9.666
24,"F24_USLL_A35",1999,4,53.716,52.424,54.42,55.043
24,"F24_USLL_A35",2000,1,91.306,91.554,91.33,89.236
24,"F24_USLL_A35",2000,2,11.424,11.468,11.375,10.987
24,"F24_USLL_A35",2000,4,76.085,79.759,77.132,75.462
24,"F24_USLL_A35",2001,1,38.045,39.599,38.409,36.823
24,"F24_USLL_A35",2004,4,59.358,63.265,58.449,57.09
24,"F24_USLL_A35",2005,1,17.702,18.762,17.479,16.988
24,"F24_USLL_A35",2005,2,11.26,10.992,11.257,11.513
24,"F24_USLL_A35",2005,4,50.15,54.639,49.236,49.873
24,"F24_USLL_A35",2006,1,145.451,164.762,140.741,138.404
24,"F24_USLL_A35",2007,1,99.993,104.561,100.709,93.008
24,"F24_USLL_A35",2007,4,34.846,33.28,35.528,34.184
24,"F24_USLL_A35",2008,1,79.435,75.341,80.315,79.671
24,"F24_USLL_A35",2008,2,8.878,8.976,8.836,9.125
24,"F24_USLL_A35",2008,4,101.071,99.587,106.397,95.453
24,"F24_USLL_A35",2009,1,42.536,42.043,43.082,41.415
24,"F24_USLL_A35",2009,2,9.216,9.159,9.357,9.221
24,"F24_USLL_A35",2009,3,10.448,10.479,10.807,10.598
24,"F24_USLL_A35",2009,4,20.31,20.435,20.368,20.378
24,"F24_USLL_A35",2010,1,91.908,95.935,82.24,87.741
24,"F24_USLL_A35",2010,2,5.266,5.257,5.36,5.299
24,"F24_USLL_A35",2010,3,13.184,13.039,14.25,13.52
24,"F24_USLL_A35",2010,4,50.21,51.257,53.109,52.993
24,"F24_USLL_A35",2011,1,57.526,61.07,57.719,59.737
24,"F24_USLL_A35",2011,2,5.565,5.577,5.825,5.672
24,"F24_USLL_A35",2011,4,61.614,63.522,53.561,59.716
24,"F24_USLL_A35",2012,1,278.176,297.238,281.086,284.756
24,"F24_USLL_A35",2012,2,4.481,4.532,4.547,4.547
24,"F24_USLL_A35",2012,3,29.916,31.046,27.248,31.11
24,"F24_USLL_A35",2012,4,28.074,29.348,27.777,29.182
24,"F24_USLL_A35",2013,1,9.275,9.578,9.882,9.254
24,"F24_USLL_A35",2013,2,11.242,11.107,10.295,11.343
24,"F24_USLL_A35",2013,4,28.863,28.554,30.88,28.497
24,"F24_USLL_A35",2014,1,79.976,80.723,85.205,77.749
24,"F24_USLL_A35",2014,2,9.227,9.047,8.841,9.284
24,"F24_USLL_A35",2014,4,10.795,10.87,11.04,10.795
24,"F24_USLL_A35",2015,1,32.541,33.024,32.044,32.317
24,"F24_USLL_A35",2015,2,3.865,3.842,3.82,3.883
24,"F24_USLL_A35",2015,3,8.64,8.556,8.447,8.71
24,"F24_USLL_A35",2016,1,16.42,16.473,16.425,16.444
24,"F24_USLL_A35",2016,3,8.064,7.938,7.888,8.128
24,"F24_USLL_A35",2016,4,12.148,11.917,11.886,12.252
24,"F24_USLL_A35",2017,1,27.484,26.09,26.594,27.743
24,"F24_USLL_A35",2017,4,17.539,17.042,17.218,17.912
24,"F24_USLL_A35",2018,1,27.396,26.515,26.532,27.295
24,"F24_USLL_A35",2019,1,8.176,8.252,8.16,8.247
24,"F24_USLL_A35",2020,1,31.879,32.314,30.665,31.495
24,"F24_USLL_A35",2020,3,16.788,16.752,15.68,16.875
24,"F24_USLL_A35",2020,4,4.847,4.869,4.657,4.827
24,"F24_USLL_A35",2021,1,25.609,26.063,22.648,25.106
24,"F24_USLL_A35",2021,2,23.163,23.502,21.093,22.781
24,"F24_USLL_A35",2021,4,39.361,38.584,37.372,40.057
24,"F24_USLL_A35",2022,1,15.607,15.6,15.163,15.609
24,"F24_USLL_A35",2022,4,31.893,30.928,31.718,32.746
24,"F24_USLL_A35",2023,1,28.09,29.65,27.589,26.666
24,"F24_USLL_A35",2023,2,59.293,55.165,61.986,62.314
24,"F24_USLL_A35",2023,4,7.593,7.671,7.649,7.519
24,"F24_USLL_A35",2024,1,46.229,45.578,47.519,46.195
24,"F24_USLL_A35",2024,4,27.912,27.749,26.641,28.478
25,"F25_USLL_A24",1994,1,33.977,34.115,33.975,33.933
25,"F25_USLL_A24",1994,2,10.701,10.871,10.674,10.674
25,"F25_USLL_A24",1994,3,54.348,56.362,53.986,54.552
25,"F25_USLL_A24",1994,4,34.154,33.281,34.283,34.1
25,"F25_USLL_A24",1995,1,91.832,92.996,91.96,89.949
25,"F25_USLL_A24",1995,2,76.875,76.33,76.949,76.751
25,"F25_USLL_A24",1995,3,39.022,38.344,39.131,39.044
25,"F25_USLL_A24",1995,4,22.688,22.432,22.772,22.537
25,"F25_USLL_A24",1996,1,124.971,122.944,124.054,131.249
25,"F25_USLL_A24",1996,2,76.555,74.988,76.012,78.448
25,"F25_USLL_A24",1996,3,49.4,48.708,49.342,49.706
25,"F25_USLL_A24",1996,4,154.882,152.865,157.143,147.914
25,"F25_USLL_A24",1997,1,129.872,126.974,128.308,130.109
25,"F25_USLL_A24",1997,2,45.478,44.628,45.25,44.265
25,"F25_USLL_A24",1997,3,6.748,6.713,6.727,6.716
25,"F25_USLL_A24",1997,4,24.556,24.396,24.644,23.575
25,"F25_USLL_A24",1998,1,53.339,52.599,53.135,51.109
25,"F25_USLL_A24",1998,2,20.289,20.049,20.225,19.499
25,"F25_USLL_A24",1998,3,36.198,35.711,35.988,35.167
25,"F25_USLL_A24",1998,4,39.253,39.194,38.999,42.15
25,"F25_USLL_A24",1999,1,46.844,47.075,46.571,52.976
25,"F25_USLL_A24",1999,2,21.372,21.142,21.343,19.929
25,"F25_USLL_A24",1999,3,62.201,61.836,62.291,57.873
25,"F25_USLL_A24",1999,4,28.529,28.76,28.424,33.169
25,"F25_USLL_A24",2000,1,30.949,31.162,30.852,34.742
25,"F25_USLL_A24",2000,2,35.004,34.857,35.034,32.88
25,"F25_USLL_A24",2000,4,172.61,168.238,172.509,133.259
25,"F25_USLL_A24",2001,2,40.922,40.237,40.935,34.864
25,"F25_USLL_A24",2001,3,235.62,234.881,235.415,205.369
25,"F25_USLL_A24",2001,4,75.78,76.794,75.765,84.986
25,"F25_USLL_A24",2002,1,125.29,124.301,124.951,105.897
25,"F25_USLL_A24",2002,2,50.575,50.292,50.397,44.778
25,"F25_USLL_A24",2002,3,92.648,90.079,92.441,81.457
25,"F25_USLL_A24",2002,4,93.9,91.814,94.383,100.889
25,"F25_USLL_A24",2003,1,60.736,60.621,60.391,55.107
25,"F25_USLL_A24",2003,2,86.113,86.673,85.337,80.488
25,"F25_USLL_A24",2003,3,48.068,47.144,48.294,47.959
25,"F25_USLL_A24",2003,4,15.81,15.64,15.886,15.3
25,"F25_USLL_A24",2004,1,407.563,426.531,400.968,393.331
25,"F25_USLL_A24",2004,2,114.91,116.282,115.665,104.237
25,"F25_USLL_A24",2004,3,11.115,11.186,11.18,10.57
25,"F25_USLL_A24",2004,4,8.315,8.363,8.359,7.93
25,"F25_USLL_A24",2005,1,29.4,29.954,29.699,26.8
25,"F25_USLL_A24",2005,2,33.331,33.822,33.707,30.086
25,"F25_USLL_A24",2005,3,45.935,46.497,46.516,40.867
25,"F25_USLL_A24",2005,4,21.663,22.201,21.942,19.328
25,"F25_USLL_A24",2006,1,82.594,85.554,84.058,69.567
25,"F25_USLL_A24",2006,2,131.499,129.471,131.841,127.538
25,"F25_USLL_A24",2006,3,84.613,86.408,85.432,75.066
25,"F25_USLL_A24",2006,4,17.547,17.818,17.619,16.497
25,"F25_USLL_A24",2007,1,74.972,72.745,74.581,81.118
25,"F25_USLL_A24",2007,2,57.498,57.232,56.595,62.723
25,"F25_USLL_A24",2007,3,114.224,120.66,114.893,93.169
25,"F25_USLL_A24",2007,4,159.716,174.905,160.223,119.001
25,"F25_USLL_A24",2008,1,61.148,58.129,60.882,73.239
25,"F25_USLL_A24",2008,2,101.094,95.434,101.2,122.837
25,"F25_USLL_A24",2008,3,11.639,11.509,11.703,11.836
25,"F25_USLL_A24",2008,4,27.41,28.348,27.237,23.676
25,"F25_USLL_A24",2009,1,28.967,29.108,28.84,25.281
25,"F25_USLL_A24",2009,2,70.192,72.084,69.718,60.698
25,"F25_USLL_A24",2009,4,15.698,15.607,15.667,15.062
25,"F25_USLL_A24",2010,1,49.836,48.484,49.492,39.383
25,"F25_USLL_A24",2010,2,121.997,131.68,124.56,137.905
25,"F25_USLL_A24",2010,4,71.518,68.42,69.16,58.086
25,"F25_USLL_A24",2011,1,122.481,120.558,112.757,111.877
25,"F25_USLL_A24",2011,2,114.514,122.249,118.386,134.365
25,"F25_USLL_A24",2011,3,32.258,31.544,30.189,30.006
25,"F25_USLL_A24",2011,4,24.171,23.361,22.724,21.655
25,"F25_USLL_A24",2012,1,107.889,104.125,96.757,97.884
25,"F25_USLL_A24",2012,2,99.814,93.982,92.82,80.522
25,"F25_USLL_A24",2012,3,25.63,25.065,23.384,23.333
25,"F25_USLL_A24",2012,4,49.473,47.642,42.575,42.485
25,"F25_USLL_A24",2013,1,140.941,132.199,109.24,109.276
25,"F25_USLL_A24",2013,2,107.209,109.912,129.548,121.425
25,"F25_USLL_A24",2013,3,23.536,23.008,22.217,22.475
25,"F25_USLL_A24",2013,4,53.037,50.739,45.884,46.632
25,"F25_USLL_A24",2014,1,49.432,49.106,52.66,50.904
25,"F25_USLL_A24",2014,2,117.059,116.082,102.729,108.128
25,"F25_USLL_A24",2014,3,37.404,35.792,35.251,34.802
25,"F25_USLL_A24",2014,4,18.108,17.872,17.735,17.754
25,"F25_USLL_A24",2015,1,97.462,94.999,97.788,95.048
25,"F25_USLL_A24",2015,2,186.301,171.875,196.48,165.074
25,"F25_USLL_A24",2015,3,23.789,23.174,23.997,22.664
25,"F25_USLL_A24",2015,4,47.322,46.722,49.894,46.88
25,"F25_USLL_A24",2016,1,153.271,161.069,175.613,163.602
25,"F25_USLL_A24",2016,2,297.981,311.885,284.067,354.169
25,"F25_USLL_A24",2016,3,143.556,141.04,130.609,144.577
25,"F25_USLL_A24",2016,4,9.199,9.336,9.364,9.391
25,"F25_USLL_A24",2017,1,34.844,35.67,35.506,35.33
25,"F25_USLL_A24",2017,2,22.416,22.71,23.25,22.348
25,"F25_USLL_A24",2017,3,17.849,18.179,17.174,18.916
25,"F25_USLL_A24",2018,1,18.201,18.433,17.316,19.22
25,"F25_USLL_A24",2018,2,28.932,29.496,28.837,28.837
25,"F25_USLL_A24",2018,3,26.251,26.453,26.965,25.564
25,"F25_USLL_A24",2018,4,35.199,35.837,33.381,37.255
25,"F25_USLL_A24",2019,1,17.984,18.309,17.887,18.236
25,"F25_USLL_A24",2019,2,15.139,15.445,15.466,14.906
25,"F25_USLL_A24",2019,3,25.48,25.584,24.179,26.782
25,"F25_USLL_A24",2019,4,14.591,14.512,14.051,15.053
25,"F25_USLL_A24",2020,1,26.704,27.078,27.629,26.144
25,"F25_USLL_A24",2020,3,34.04,33.085,32.072,35.082
25,"F25_USLL_A24",2020,4,6.558,6.52,6.471,6.631
25,"F25_USLL_A24",2021,1,29.206,28.952,28.723,29.636
25,"F25_USLL_A24",2021,3,27.059,26.806,28.077,27.475
25,"F25_USLL_A24",2021,4,31.764,31.536,33.855,32.586
25,"F25_USLL_A24",2022,1,50.789,50.61,53.651,52.775
25,"F25_USLL_A24",2022,2,35.064,34.653,34.233,34.617
25,"F25_USLL_A24",2022,3,82.216,82.656,80.536,83.98
25,"F25_USLL_A24",2022,4,50.24,52.193,46.064,48.617
25,"F25_USLL_A24",2023,1,36.536,38.13,31.639,32.739
25,"F25_USLL_A24",2023,2,24.953,25.328,23.428,23.916
25,"F25_USLL_A24",2023,3,39.902,39.367,40.124,40.313
25,"F25_USLL_A24",2023,4,29.472,29.909,26.792,26.688
25,"F25_USLL_A24",2024,2,29.302,29.215,27.765,27.555
25,"F25_USLL_A24",2024,3,26.226,26.098,25.176,24.815
25,"F25_USLL_A24",2024,4,29.702,29.457,28.368,28.062
26,"F26_TWLL_A35",2003,1,20.555,21.04,20.055,20.193
26,"F26_TWLL_A35",2003,3,3.297,3.303,3.326,3.278
26,"F26_TWLL_A35",2003,4,18.451,17.652,18.017,19.144
26,"F26_TWLL_A35",2004,1,87.395,94.156,84.905,82.455
26,"F26_TWLL_A35",2004,3,57.6,56.362,55.87,58.493
26,"F26_TWLL_A35",2004,4,103.024,104.121,105.194,102.025
26,"F26_TWLL_A35",2005,1,65.526,65.578,67.946,65.188
26,"F26_TWLL_A35",2005,3,6.662,6.732,6.552,6.582
26,"F26_TWLL_A35",2005,4,94.529,98.515,97.767,95.657
26,"F26_TWLL_A35",2006,1,49.569,56.731,49.856,49.232
26,"F26_TWLL_A35",2006,2,117.746,140.627,115.547,112.744
26,"F26_TWLL_A35",2006,3,11.73,11.471,11.459,11.494
26,"F26_TWLL_A35",2006,4,76.698,83.143,69.784,75.93
26,"F26_TWLL_A35",2007,1,209.565,228.598,188.55,191.947
26,"F26_TWLL_A35",2007,2,27.694,28.59,26.489,26.922
26,"F26_TWLL_A35",2007,4,110.477,103.699,119.68,100.229
26,"F26_TWLL_A35",2008,1,82.049,79.403,91.182,77.983
26,"F26_TWLL_A35",2008,2,48.507,47.411,52.418,46.613
26,"F26_TWLL_A35",2008,3,13.799,13.712,14.367,13.578
26,"F26_TWLL_A35",2008,4,31.669,31.666,31.58,32.323
26,"F26_TWLL_A35",2009,1,127.36,127.157,143.304,123.485
26,"F26_TWLL_A35",2009,4,14.827,14.762,15.922,14.815
26,"F26_TWLL_A35",2010,1,96.198,100.65,88.582,93.693
26,"F26_TWLL_A35",2010,2,15.771,16.227,14.526,15.564
26,"F26_TWLL_A35",2010,3,23.058,22.458,25.112,23.504
26,"F26_TWLL_A35",2010,4,36.611,35.658,40.949,37.952
26,"F26_TWLL_A35",2011,1,48.904,49.79,53.93,50.985
26,"F26_TWLL_A35",2011,2,4.266,4.324,4.245,4.261
26,"F26_TWLL_A35",2011,3,23.38,24.701,24.169,23.846
26,"F26_TWLL_A35",2011,4,28.764,30.455,30.183,29.692
26,"F26_TWLL_A35",2012,1,88.612,88.264,96.582,88.98
26,"F26_TWLL_A35",2012,4,52.54,52.663,45.525,52.822
26,"F26_TWLL_A35",2013,1,74.648,73.295,61.62,74.961
26,"F26_TWLL_A35",2013,4,62.517,57.619,52.794,61.48
26,"F26_TWLL_A35",2014,1,83.518,76.967,74.26,81.451
26,"F26_TWLL_A35",2014,4,35.785,35.259,34.328,36.065
26,"F26_TWLL_A35",2015,1,23.278,23.487,24.549,23.208
26,"F26_TWLL_A35",2015,4,25.756,25.216,24.699,26.111
26,"F26_TWLL_A35",2016,1,27.11,28.651,27.102,27.606
26,"F26_TWLL_A35",2016,2,6.897,7.05,6.979,6.941
26,"F26_TWLL_A35",2016,4,22.38,21.381,21.728,22.192
26,"F26_TWLL_A35",2017,1,35.73,37.22,37.172,36.138
26,"F26_TWLL_A35",2017,4,45.524,42.494,43.911,46.228
26,"F26_TWLL_A35",2018,1,107.03,118.124,110.84,103.715
26,"F26_TWLL_A35",2018,4,68.361,70.269,72.114,71.72
26,"F26_TWLL_A35",2019,1,182.689,198.642,191.448,187.518
26,"F26_TWLL_A35",2019,4,196.068,213.781,171.961,170.967
26,"F26_TWLL_A35",2020,1,38.505,38.616,42.182,40.012
26,"F26_TWLL_A35",2020,2,5.646,5.638,5.918,5.717
26,"F26_TWLL_A35",2020,4,367.228,359.485,359.252,372.533
26,"F26_TWLL_A35",2021,1,43.05,43.782,46.947,43.898
26,"F26_TWLL_A35",2021,2,35.3,35.443,31.996,34.789
26,"F26_TWLL_A35",2021,3,5.72,5.679,5.795,5.714
26,"F26_TWLL_A35",2021,4,54.911,56.58,62.184,54.865
26,"F26_TWLL_A35",2022,1,43.264,45.425,47.565,42.592
26,"F26_TWLL_A35",2022,2,70.104,69.924,71.542,74.4
26,"F26_TWLL_A35",2022,4,47.403,43.825,50.017,52.419
26,"F26_TWLL_A35",2023,1,29.021,27.955,29.076,30.765
26,"F26_TWLL_A35",2023,2,3.181,3.172,3.166,3.211
26,"F26_TWLL_A35",2023,4,199.334,189.545,229.268,203.196
26,"F26_TWLL_A35",2024,1,132.849,124.772,131.327,159.492
26,"F26_TWLL_A35",2024,2,36.499,38.215,39.307,35.491
26,"F26_TWLL_A35",2024,3,29.116,28.455,28.366,28.194
26,"F26_TWLL_A35",2024,4,100.849,84.191,92.342,120.216
29,"F29_CNLL_A35",2013,3,307.993,234.617,252.492,289.819
29,"F29_CNLL_A35",2014,3,29.009,31.309,30.993,30.009
29,"F29_CNLL_A35",2017,3,11.063,10.064,10.257,10.906
29,"F29_CNLL_A35",2018,3,11.148,10.126,10.309,10.944
29,"F29_CNLL_A35",2020,3,250.856,169.741,151.882,275.654
30,"F30_CNLL_A24",1997,3,32.219,33.678,32.328,28.729
30,"F30_CNLL_A24",1998,3,7.067,7.135,7.098,6.873
30,"F30_CNLL_A24",1999,3,16.021,16.215,16.096,15.414
30,"F30_CNLL_A24",2000,3,8.094,7.986,8.133,8.397
30,"F30_CNLL_A24",2004,3,26.998,27.678,27.168,25.166
30,"F30_CNLL_A24",2005,3,8.276,8.315,8.316,8.154
30,"F30_CNLL_A24",2006,3,34.857,36.778,34.805,30.225
30,"F30_CNLL_A24",2007,3,11.738,11.752,11.8,11.666
30,"F30_CNLL_A24",2008,3,6.988,7.032,7.01,6.865
30,"F30_CNLL_A24",2009,3,11.035,11.214,11.086,10.554
30,"F30_CNLL_A24",2010,3,8.395,8.487,8.431,8.145
30,"F30_CNLL_A24",2011,3,9.643,9.741,9.693,9.368
30,"F30_CNLL_A24",2012,3,8.34,8.42,8.379,8.122
30,"F30_CNLL_A24",2013,3,6.046,6.06,6.061,6
30,"F30_CNLL_A24",2014,3,25.554,24.994,25.608,27.25
30,"F30_CNLL_A24",2016,3,4.455,4.455,4.465,4.446
30,"F30_CNLL_A24",2017,3,9.583,9.645,9.619,9.4
30,"F30_CNLL_A24",2018,3,11.277,11.348,11.325,11.053
30,"F30_CNLL_A24",2019,3,5.519,5.52,5.534,5.505
30,"F30_CNLL_A24",2020,3,21.014,20.755,21.21,21.723
30,"F30_CNLL_A24",2021,3,11.354,11.58,11.402,10.78
30,"F30_CNLL_A24",2022,3,99.855,103.185,100.934,89.211
30,"F30_CNLL_A24",2023,3,4.268,4.265,4.275,4.237
30,"F30_CNLL_A24",2024,3,17.483,18.196,17.462,15.775
31,"F31_VULL_mt",2000,3,50.07,51.013,50.386,46.915
31,"F31_VULL_mt",2014,3,47.347,48.459,47.641,44.492
31,"F31_VULL_mt",2015,3,5.488,5.485,5.462,5.314
31,"F31_VULL_mt",2023,3,20.355,20.727,20.593,20.396
31,"F31_VULL_mt",2024,3,43.22,43.488,43.095,39.763
34,"F34_EPOSF_xx24",1995,3,67.426,65.45,67.099,66.704
34,"F34_EPOSF_xx24",1996,2,56.572,54.141,56.358,57.658
34,"F34_EPOSF_xx24",1996,3,35.661,34.475,35.534,35.973
34,"F34_EPOSF_xx24",1996,4,67.691,65.595,67.593,68.085
34,"F34_EPOSF_xx24",1997,2,44.26,46.456,44.112,42.665
34,"F34_EPOSF_xx24",1997,3,86.067,90.919,85.45,81.516
34,"F34_EPOSF_xx24",1997,4,15.503,15.544,15.487,15.359
34,"F34_EPOSF_xx24",1998,3,122.996,124.027,122.848,123.729
34,"F34_EPOSF_xx24",1998,4,20.556,20.414,20.538,20.609
34,"F34_EPOSF_xx24",1999,2,41.689,36.518,41.609,42.501
34,"F34_EPOSF_xx24",1999,3,27.667,24.808,27.588,28.943
34,"F34_EPOSF_xx24",2000,2,19.477,16.931,19.467,19.285
34,"F34_EPOSF_xx24",2000,3,210.608,321.935,212.206,205.121
34,"F34_EPOSF_xx24",2001,2,38.695,41.653,38.879,37.83
34,"F34_EPOSF_xx24",2001,3,78.194,73.239,77.725,79.394
34,"F34_EPOSF_xx24",2002,3,21.665,21.597,21.616,21.68
34,"F34_EPOSF_xx24",2003,3,289.222,167.542,285.011,277.935
34,"F34_EPOSF_xx24",2004,2,21.924,18.2,21.614,21.626
34,"F34_EPOSF_xx24",2004,3,66.612,55.114,63.525,64.166
34,"F34_EPOSF_xx24",2004,4,111.105,121.892,108.475,112.159
34,"F34_EPOSF_xx24",2005,2,118.417,100.408,120.268,116.751
34,"F34_EPOSF_xx24",2005,3,208.676,141.891,225.038,211.113
34,"F34_EPOSF_xx24",2005,4,12.997,12.377,13.068,13.088
34,"F34_EPOSF_xx24",2006,3,55.055,57.658,55.006,54.554
34,"F34_EPOSF_xx24",2006,4,58.514,63.017,59.261,57.624
34,"F34_EPOSF_xx24",2007,2,13.602,13.168,13.698,13.648
34,"F34_EPOSF_xx24",2007,3,41.701,39.166,40.498,42.208
34,"F34_EPOSF_xx24",2008,2,8.893,8.733,8.679,8.866
34,"F34_EPOSF_xx24",2008,3,357.822,356.394,378.366,359.56
34,"F34_EPOSF_xx24",2008,4,15.972,16.068,16.492,16.036
34,"F34_EPOSF_xx24",2009,2,35.702,34.432,34.752,35.119
34,"F34_EPOSF_xx24",2009,3,144.429,139.892,138.32,138.702
34,"F34_EPOSF_xx24",2009,4,80.81,83.169,83.9,82.366
34,"F34_EPOSF_xx24",2010,2,16.757,16.304,17.062,16.793
34,"F34_EPOSF_xx24",2010,3,179.707,161.771,181.339,179.899
34,"F34_EPOSF_xx24",2010,4,52.41,50.23,54.27,52.898
34,"F34_EPOSF_xx24",2011,2,62.838,62.584,68.921,63.286
34,"F34_EPOSF_xx24",2011,3,293.874,292.87,208.644,286.873
34,"F34_EPOSF_xx24",2011,4,70.99,68.438,64.797,70.555
34,"F34_EPOSF_xx24",2012,2,88.812,88.75,88.556,88.7
34,"F34_EPOSF_xx24",2012,3,149.585,159.834,154.688,150.2
34,"F34_EPOSF_xx24",2012,4,103.537,102.275,100.126,103.571
34,"F34_EPOSF_xx24",2013,3,119.908,113.148,117.949,118.901
34,"F34_EPOSF_xx24",2013,4,37.488,38.523,37.372,37.387
34,"F34_EPOSF_xx24",2014,3,53.194,53.946,53.09,53.08
34,"F34_EPOSF_xx24",2014,4,30.184,29.673,30.195,29.985
34,"F34_EPOSF_xx24",2015,2,11.89,11.917,11.793,11.877
34,"F34_EPOSF_xx24",2015,3,43.675,44.664,44.004,43.68
34,"F34_EPOSF_xx24",2015,4,39.491,40.085,38.488,39.078
