"Fleet","Fleet_Name","Yr","Seas","base2026","cvold=.08","growth est"
4,"F4_JPLL_A13_Q4_wt",1996,4,23.542,29.048,23.443
4,"F4_JPLL_A13_Q4_wt",1999,4,80.742,90.164,79.867
4,"F4_JPLL_A13_Q4_wt",2000,4,51.801,50.185,53.172
4,"F4_JPLL_A13_Q4_wt",2001,4,308.046,260.955,254.074
4,"F4_JPLL_A13_Q4_wt",2002,4,23.938,35.736,27.164
4,"F4_JPLL_A13_Q4_wt",2003,4,43.123,52.032,46.836
4,"F4_JPLL_A13_Q4_wt",2004,4,137.736,154.39,126.386
4,"F4_JPLL_A13_Q4_wt",2005,4,43.472,53.497,42.012
4,"F4_JPLL_A13_Q4_wt",2006,4,106.012,130.602,106.186
4,"F4_JPLL_A13_Q4_wt",2007,4,374.787,386.64,385.252
4,"F4_JPLL_A13_Q4_wt",2008,4,91.534,83.79,82.719
4,"F4_JPLL_A13_Q4_wt",2009,4,314.646,461.74,289.407
4,"F4_JPLL_A13_Q4_wt",2010,4,75.58,91.714,80.03
4,"F4_JPLL_A13_Q4_wt",2011,4,137.01,151.835,145.022
4,"F4_JPLL_A13_Q4_wt",2012,4,87.61,86.839,86.563
4,"F4_JPLL_A13_Q4_wt",2013,4,35.24,40.564,37.192
4,"F4_JPLL_A13_Q4_wt",2014,4,117.392,133.287,127.784
4,"F4_JPLL_A13_Q4_wt",2015,4,84.642,102.428,93.226
4,"F4_JPLL_A13_Q4_wt",2016,4,70.888,64.839,61.386
4,"F4_JPLL_A13_Q4_wt",2017,4,249.634,326.819,395.89
4,"F4_JPLL_A13_Q4_wt",2018,4,217.162,176.715,282.815
4,"F4_JPLL_A13_Q4_wt",2019,4,112.949,132.997,91.396
4,"F4_JPLL_A13_Q4_wt",2020,4,78.414,93.817,68.901
4,"F4_JPLL_A13_Q4_wt",2021,4,50.001,41.54,39.109
4,"F4_JPLL_A13_Q4_wt",2022,4,50.089,70.168,51.823
4,"F4_JPLL_A13_Q4_wt",2023,4,25.555,23.574,26.591
4,"F4_JPLL_A13_Q4_wt",2024,4,32.06,35.184,32.544
9,"F9_JPLL_A2_Q1_wt",1994,1,61.291,58.877,63.83
9,"F9_JPLL_A2_Q1_wt",1996,1,58.001,47.577,62.138
9,"F9_JPLL_A2_Q1_wt",1997,1,40.108,35.227,34.138
9,"F9_JPLL_A2_Q1_wt",1999,1,47.261,52.977,47.009
9,"F9_JPLL_A2_Q1_wt",2000,1,53.855,60.37,54.391
9,"F9_JPLL_A2_Q1_wt",2001,1,197.443,155.528,172.271
9,"F9_JPLL_A2_Q1_wt",2002,1,538.884,363.032,443.372
9,"F9_JPLL_A2_Q1_wt",2003,1,239.782,256.624,299.229
9,"F9_JPLL_A2_Q1_wt",2004,1,73.801,45.099,74.338
9,"F9_JPLL_A2_Q1_wt",2005,1,96.19,100.346,96.385
9,"F9_JPLL_A2_Q1_wt",2006,1,112.203,146.67,116.304
9,"F9_JPLL_A2_Q1_wt",2007,1,67.003,82.394,66.434
9,"F9_JPLL_A2_Q1_wt",2008,1,149.293,158.653,151.131
9,"F9_JPLL_A2_Q1_wt",2009,1,89.279,78.914,87.002
9,"F9_JPLL_A2_Q1_wt",2010,1,341.835,211.68,332.773
9,"F9_JPLL_A2_Q1_wt",2011,1,97.31,104.766,97.965
9,"F9_JPLL_A2_Q1_wt",2012,1,109.365,131.004,107.627
9,"F9_JPLL_A2_Q1_wt",2013,1,265.097,229.811,284.839
9,"F9_JPLL_A2_Q1_wt",2014,1,145.366,124.583,145.665
9,"F9_JPLL_A2_Q1_wt",2015,1,421.177,358.266,439.448
9,"F9_JPLL_A2_Q1_wt",2016,1,220.851,179.621,197.377
9,"F9_JPLL_A2_Q1_wt",2017,1,85.626,65.114,74.823
