"Fleet","Fleet_Name","Yr","Seas","base2026","h=0.75","h=0.80","h=0.85"
3,"F3_JPLL_A13_Q3_wt",2017,3,19.191,19.191,19.191,19.191
3,"F3_JPLL_A13_Q3_wt",2018,3,11.732,11.732,11.732,11.732
3,"F3_JPLL_A13_Q3_wt",2019,3,12.231,12.231,12.231,12.231
3,"F3_JPLL_A13_Q3_wt",2020,3,24.321,24.32,24.32,24.32
3,"F3_JPLL_A13_Q3_wt",2021,3,22.646,22.646,22.646,22.646
3,"F3_JPLL_A13_Q3_wt",2022,3,27.079,27.079,27.079,27.079
3,"F3_JPLL_A13_Q3_wt",2023,3,12.333,12.332,12.332,12.332
3,"F3_JPLL_A13_Q3_wt",2024,3,37.766,37.761,37.761,37.761
4,"F4_JPLL_A13_Q4_wt",1996,4,23.542,23.543,23.543,23.543
4,"F4_JPLL_A13_Q4_wt",1999,4,80.742,80.742,80.742,80.742
4,"F4_JPLL_A13_Q4_wt",2000,4,51.801,51.801,51.801,51.801
4,"F4_JPLL_A13_Q4_wt",2001,4,308.046,308.043,308.043,308.043
4,"F4_JPLL_A13_Q4_wt",2002,4,23.938,23.938,23.938,23.938
4,"F4_JPLL_A13_Q4_wt",2003,4,43.123,43.123,43.123,43.123
4,"F4_JPLL_A13_Q4_wt",2004,4,137.736,137.735,137.735,137.735
4,"F4_JPLL_A13_Q4_wt",2005,4,43.472,43.472,43.472,43.472
4,"F4_JPLL_A13_Q4_wt",2006,4,106.012,106.012,106.012,106.012
4,"F4_JPLL_A13_Q4_wt",2007,4,374.787,374.786,374.786,374.786
4,"F4_JPLL_A13_Q4_wt",2008,4,91.534,91.533,91.533,91.533
4,"F4_JPLL_A13_Q4_wt",2009,4,314.646,314.643,314.643,314.643
4,"F4_JPLL_A13_Q4_wt",2010,4,75.58,75.58,75.58,75.58
4,"F4_JPLL_A13_Q4_wt",2011,4,137.01,137.01,137.01,137.01
4,"F4_JPLL_A13_Q4_wt",2012,4,87.61,87.61,87.61,87.61
4,"F4_JPLL_A13_Q4_wt",2013,4,35.24,35.24,35.24,35.24
4,"F4_JPLL_A13_Q4_wt",2014,4,117.392,117.392,117.392,117.392
4,"F4_JPLL_A13_Q4_wt",2015,4,84.642,84.642,84.642,84.642
4,"F4_JPLL_A13_Q4_wt",2016,4,70.888,70.888,70.888,70.888
4,"F4_JPLL_A13_Q4_wt",2017,4,249.634,249.635,249.635,249.635
4,"F4_JPLL_A13_Q4_wt",2018,4,217.162,217.163,217.163,217.163
4,"F4_JPLL_A13_Q4_wt",2019,4,112.949,112.949,112.949,112.949
4,"F4_JPLL_A13_Q4_wt",2020,4,78.414,78.414,78.414,78.414
4,"F4_JPLL_A13_Q4_wt",2021,4,50.001,50.001,50.001,50.001
4,"F4_JPLL_A13_Q4_wt",2022,4,50.089,50.089,50.089,50.089
4,"F4_JPLL_A13_Q4_wt",2023,4,25.555,25.554,25.554,25.554
4,"F4_JPLL_A13_Q4_wt",2024,4,32.06,32.058,32.058,32.058
9,"F9_JPLL_A2_Q1_wt",1994,1,61.291,61.292,61.292,61.292
9,"F9_JPLL_A2_Q1_wt",1996,1,58.001,58.002,58.002,58.002
