"Fleet","Fleet_Name","Yr","Seas","base2026","estM","M=0.3","M=consM_consF"
3,"F3_JPLL_A13_Q3_wt",2017,3,19.191,18.373,19.293,19.277
3,"F3_JPLL_A13_Q3_wt",2018,3,11.732,10.976,12.156,11.766
3,"F3_JPLL_A13_Q3_wt",2019,3,12.231,13.847,11.666,12.332
3,"F3_JPLL_A13_Q3_wt",2020,3,24.321,28.027,22.523,24.355
3,"F3_JPLL_A13_Q3_wt",2021,3,22.646,20.922,23.466,22.584
3,"F3_JPLL_A13_Q3_wt",2022,3,27.079,26.826,27.042,27.087
3,"F3_JPLL_A13_Q3_wt",2023,3,12.333,13.737,11.635,12.419
3,"F3_JPLL_A13_Q3_wt",2024,3,37.766,41.171,36.389,38
4,"F4_JPLL_A13_Q4_wt",1996,4,23.542,24.46,23.112,23.542
4,"F4_JPLL_A13_Q4_wt",1999,4,80.742,84.331,77.308,79.873
4,"F4_JPLL_A13_Q4_wt",2000,4,51.801,59.709,47.931,51.438
4,"F4_JPLL_A13_Q4_wt",2001,4,308.046,297.735,321.919,305.304
4,"F4_JPLL_A13_Q4_wt",2002,4,23.938,25.169,23.254,24.411
4,"F4_JPLL_A13_Q4_wt",2003,4,43.123,41.922,44.463,43.654
4,"F4_JPLL_A13_Q4_wt",2004,4,137.736,114.269,161.969,137.031
4,"F4_JPLL_A13_Q4_wt",2005,4,43.472,44.979,43.141,43.863
4,"F4_JPLL_A13_Q4_wt",2006,4,106.012,117.496,96.655,107.583
4,"F4_JPLL_A13_Q4_wt",2007,4,374.787,425.084,344.769,383.243
4,"F4_JPLL_A13_Q4_wt",2008,4,91.534,80.46,98.533,90.136
4,"F4_JPLL_A13_Q4_wt",2009,4,314.646,276.839,349.629,317.874
4,"F4_JPLL_A13_Q4_wt",2010,4,75.58,87.872,71.597,75.71
4,"F4_JPLL_A13_Q4_wt",2011,4,137.01,140.093,138.669,136.915
4,"F4_JPLL_A13_Q4_wt",2012,4,87.61,92.451,85.105,87.385
4,"F4_JPLL_A13_Q4_wt",2013,4,35.24,36.917,34.665,35.453
4,"F4_JPLL_A13_Q4_wt",2014,4,117.392,135.386,107.875,118.86
4,"F4_JPLL_A13_Q4_wt",2015,4,84.642,91.691,80.385,84.826
4,"F4_JPLL_A13_Q4_wt",2016,4,70.888,69.06,70.205,71.276
4,"F4_JPLL_A13_Q4_wt",2017,4,249.634,362.968,216.154,247.578
4,"F4_JPLL_A13_Q4_wt",2018,4,217.162,252.209,196.753,215.493
4,"F4_JPLL_A13_Q4_wt",2019,4,112.949,118.798,111.538,114.827
4,"F4_JPLL_A13_Q4_wt",2020,4,78.414,78.615,80.65,78.89
4,"F4_JPLL_A13_Q4_wt",2021,4,50.001,53.262,49.653,50.333
4,"F4_JPLL_A13_Q4_wt",2022,4,50.089,54.387,48.009,50.65
4,"F4_JPLL_A13_Q4_wt",2023,4,25.555,25.369,26.051,25.622
4,"F4_JPLL_A13_Q4_wt",2024,4,32.06,33.321,30.986,32.048
9,"F9_JPLL_A2_Q1_wt",1994,1,61.291,62.863,60.04,62.011
9,"F9_JPLL_A2_Q1_wt",1996,1,58.001,58.789,58.686,58.272
9,"F9_JPLL_A2_Q1_wt",1997,1,40.108,37.592,39.047,40.12
9,"F9_JPLL_A2_Q1_wt",1999,1,47.261,50.506,43.922,47.066
9,"F9_JPLL_A2_Q1_wt",2000,1,53.855,60.953,50.114,53.521
9,"F9_JPLL_A2_Q1_wt",2001,1,197.443,214.528,172.412,191.689
9,"F9_JPLL_A2_Q1_wt",2002,1,538.884,436.837,595.123,531.517
9,"F9_JPLL_A2_Q1_wt",2003,1,239.782,263.198,226.269,248.103
9,"F9_JPLL_A2_Q1_wt",2004,1,73.801,66.256,81.348,72.747
9,"F9_JPLL_A2_Q1_wt",2005,1,96.19,82.448,125.057,96.819
9,"F9_JPLL_A2_Q1_wt",2006,1,112.203,121.086,112.623,114.77
9,"F9_JPLL_A2_Q1_wt",2007,1,67.003,73.368,64.546,69.045
9,"F9_JPLL_A2_Q1_wt",2008,1,149.293,163.482,138.022,152.268
9,"F9_JPLL_A2_Q1_wt",2009,1,89.279,81.55,98.85,89.271
9,"F9_JPLL_A2_Q1_wt",2010,1,341.835,378.241,306.05,336.487
9,"F9_JPLL_A2_Q1_wt",2011,1,97.31,108.834,90.717,96.929
9,"F9_JPLL_A2_Q1_wt",2012,1,109.365,112.077,104.785,110.17
9,"F9_JPLL_A2_Q1_wt",2013,1,265.097,253.206,288.036,268.389
9,"F9_JPLL_A2_Q1_wt",2014,1,145.366,131.115,164.227,146.188
9,"F9_JPLL_A2_Q1_wt",2015,1,421.177,397.238,450.392,426.088
9,"F9_JPLL_A2_Q1_wt",2016,1,220.851,201.535,234.021,218.168
9,"F9_JPLL_A2_Q1_wt",2017,1,85.626,77.155,93.548,84.949
9,"F9_JPLL_A2_Q1_wt",2018,1,157.287,187.288,143.936,158.607
9,"F9_JPLL_A2_Q1_wt",2019,1,126.819,113.494,146.042,130.733
9,"F9_JPLL_A2_Q1_wt",2020,1,24.487,24.678,23.951,24.476
9,"F9_JPLL_A2_Q1_wt",2021,1,39.486,37.076,41.938,39.384
9,"F9_JPLL_A2_Q1_wt",2022,1,309.004,276.273,336.716,305.249
9,"F9_JPLL_A2_Q1_wt",2023,1,32.817,32.331,33.374,32.903
9,"F9_JPLL_A2_Q1_wt",2024,1,56.822,66.935,53.935,58.741
10,"F10_JPLL_A2_Q2_wt_9624",2000,2,31.962,31.639,31.849,31.727
10,"F10_JPLL_A2_Q2_wt_9624",2001,2,126.078,131.013,121.397,125.783
10,"F10_JPLL_A2_Q2_wt_9624",2002,2,242.075,214.284,246.441,244.725
10,"F10_JPLL_A2_Q2_wt_9624",2003,2,16.318,16.013,16.286,16.431
10,"F10_JPLL_A2_Q2_wt_9624",2004,2,251.995,228.327,260.345,256.173
10,"F10_JPLL_A2_Q2_wt_9624",2005,2,87.364,76.792,93.724,85.298
10,"F10_JPLL_A2_Q2_wt_9624",2006,2,100.931,97.994,98.171,99.484
10,"F10_JPLL_A2_Q2_wt_9624",2007,2,90.262,97.002,85.094,92.406
10,"F10_JPLL_A2_Q2_wt_9624",2008,2,67.915,71.164,65.677,69.22
10,"F10_JPLL_A2_Q2_wt_9624",2009,2,161.893,140.999,181.263,159.21
10,"F10_JPLL_A2_Q2_wt_9624",2010,2,525.026,464.004,578.119,504.226
10,"F10_JPLL_A2_Q2_wt_9624",2011,2,91.696,93.163,91.746,92.044
10,"F10_JPLL_A2_Q2_wt_9624",2012,2,79.159,82.262,79.711,78.587
10,"F10_JPLL_A2_Q2_wt_9624",2013,2,402.801,405.737,400.29,401.245
10,"F10_JPLL_A2_Q2_wt_9624",2014,2,391.133,388.981,376.263,387.2
10,"F10_JPLL_A2_Q2_wt_9624",2015,2,142.103,150.551,133.344,142.724
10,"F10_JPLL_A2_Q2_wt_9624",2016,2,270.121,311.048,242.11,272.676
10,"F10_JPLL_A2_Q2_wt_9624",2017,2,142.377,137.162,140.98,143.594
10,"F10_JPLL_A2_Q2_wt_9624",2018,2,164.224,190.49,151.061,164.351
10,"F10_JPLL_A2_Q2_wt_9624",2019,2,134.782,134.393,124.726,137.143
10,"F10_JPLL_A2_Q2_wt_9624",2020,2,234.233,241.046,227.242,236.092
10,"F10_JPLL_A2_Q2_wt_9624",2021,2,33.853,35.678,33.251,34.476
10,"F10_JPLL_A2_Q2_wt_9624",2022,2,108.289,109.417,109.257,110.766
10,"F10_JPLL_A2_Q2_wt_9624",2023,2,21.758,22.313,21.411,21.772
10,"F10_JPLL_A2_Q2_wt_9624",2024,2,51.217,47.793,53.638,50.856
11,"F11_JPLL_A2_Q3_wt",2001,3,168.548,164.183,156.32,166.008
11,"F11_JPLL_A2_Q3_wt",2002,3,96.744,93.265,102.415,95.943
11,"F11_JPLL_A2_Q3_wt",2003,3,73.638,71.97,71.408,74.668
11,"F11_JPLL_A2_Q3_wt",2004,3,143.924,109.625,179.889,141.312
11,"F11_JPLL_A2_Q3_wt",2005,3,69.75,65.773,79.667,69.918
11,"F11_JPLL_A2_Q3_wt",2006,3,155.629,164.744,156.817,158.936
11,"F11_JPLL_A2_Q3_wt",2007,3,91.723,99.873,90.175,93.687
11,"F11_JPLL_A2_Q3_wt",2008,3,62.548,64.039,59.604,63.232
11,"F11_JPLL_A2_Q3_wt",2009,3,98.625,85.971,117.253,97.192
11,"F11_JPLL_A2_Q3_wt",2010,3,166.487,158.817,150.996,166.979
11,"F11_JPLL_A2_Q3_wt",2011,3,1215.13,1347.61,1241.89,1288.92
11,"F11_JPLL_A2_Q3_wt",2012,3,255.722,234.839,265.664,248.324
11,"F11_JPLL_A2_Q3_wt",2013,3,222.984,218.413,208.967,225.067
11,"F11_JPLL_A2_Q3_wt",2014,3,183.141,175.096,194.181,183.122
