"Fleet","Fleet_Name","Yr","Seas","base2023","base2026"
2,"F2_JPLL_A13_Q2_wt",2005,2,NA,28.877
2,"F2_JPLL_A13_Q2_wt",2006,2,NA,88.302
2,"F2_JPLL_A13_Q2_wt",2007,2,NA,251.599
2,"F2_JPLL_A13_Q2_wt",2008,2,NA,51.672
2,"F2_JPLL_A13_Q2_wt",2009,2,NA,90.203
2,"F2_JPLL_A13_Q2_wt",2010,2,NA,101.309
2,"F2_JPLL_A13_Q2_wt",2011,2,NA,47.518
2,"F2_JPLL_A13_Q2_wt",2012,2,NA,98.333
2,"F2_JPLL_A13_Q2_wt",2013,2,NA,91.104
2,"F2_JPLL_A13_Q2_wt",2014,2,NA,56.067
2,"F2_JPLL_A13_Q2_wt",2015,2,NA,54.985
2,"F2_JPLL_A13_Q2_wt",2016,2,NA,34.08
2,"F2_JPLL_A13_Q2_wt",2017,2,NA,62.936
2,"F2_JPLL_A13_Q2_wt",2018,2,NA,26.012
2,"F2_JPLL_A13_Q2_wt",2019,2,NA,47.399
2,"F2_JPLL_A13_Q2_wt",2020,2,NA,157.238
2,"F2_JPLL_A13_Q2_wt",2021,2,NA,10.697
2,"F2_JPLL_A13_Q2_wt",2022,2,NA,5.867
2,"F2_JPLL_A13_Q2_wt",2023,2,NA,48.065
2,"F2_JPLL_A13_Q2_wt",2024,2,NA,19.469
3,"F3_JPLL_A13_Q2_wt",1996,2,18.359,NA
3,"F3_JPLL_A13_Q2_wt",1997,2,76.599,NA
3,"F3_JPLL_A13_Q2_wt",2000,2,24.787,NA
3,"F3_JPLL_A13_Q2_wt",2001,2,72.613,NA
3,"F3_JPLL_A13_Q2_wt",2002,2,44.585,NA
3,"F3_JPLL_A13_Q2_wt",2003,2,96.449,NA
3,"F3_JPLL_A13_Q2_wt",2004,2,32.488,NA
3,"F3_JPLL_A13_Q2_wt",2005,2,33.372,NA
3,"F3_JPLL_A13_Q2_wt",2006,2,105.675,NA
3,"F3_JPLL_A13_Q2_wt",2007,2,356.85,NA
3,"F3_JPLL_A13_Q2_wt",2008,2,53.32,NA
3,"F3_JPLL_A13_Q2_wt",2009,2,83.257,NA
3,"F3_JPLL_A13_Q2_wt",2010,2,165.395,NA
3,"F3_JPLL_A13_Q2_wt",2011,2,55.414,NA
3,"F3_JPLL_A13_Q2_wt",2012,2,114.622,NA
3,"F3_JPLL_A13_Q2_wt",2013,2,99.434,NA
3,"F3_JPLL_A13_Q2_wt",2014,2,57.438,NA
3,"F3_JPLL_A13_Q2_wt",2015,2,52.534,NA
3,"F3_JPLL_A13_Q2_wt",2016,2,38.393,NA
3,"F3_JPLL_A13_Q2_wt",2017,2,68.571,NA
3,"F3_JPLL_A13_Q2_wt",2018,2,20.873,NA
3,"F3_JPLL_A13_Q2_wt",2019,2,52.592,NA
3,"F3_JPLL_A13_Q2_wt",2020,2,102.437,NA
3,"F3_JPLL_A13_Q2_wt",2021,2,8.199,NA
3,"F3_JPLL_A13_Q3_wt",2000,3,NA,45.609
3,"F3_JPLL_A13_Q3_wt",2001,3,NA,11.52
3,"F3_JPLL_A13_Q3_wt",2002,3,NA,25.655
3,"F3_JPLL_A13_Q3_wt",2003,3,NA,10.091
3,"F3_JPLL_A13_Q3_wt",2004,3,NA,8.061
3,"F3_JPLL_A13_Q3_wt",2005,3,NA,34.101
3,"F3_JPLL_A13_Q3_wt",2006,3,NA,16.585
3,"F3_JPLL_A13_Q3_wt",2007,3,NA,26.654
3,"F3_JPLL_A13_Q3_wt",2008,3,NA,52.238
3,"F3_JPLL_A13_Q3_wt",2009,3,NA,9.164
3,"F3_JPLL_A13_Q3_wt",2010,3,NA,37.64
3,"F3_JPLL_A13_Q3_wt",2011,3,NA,25.421
3,"F3_JPLL_A13_Q3_wt",2012,3,NA,17.791
3,"F3_JPLL_A13_Q3_wt",2013,3,NA,46.195
3,"F3_JPLL_A13_Q3_wt",2014,3,NA,12.899
3,"F3_JPLL_A13_Q3_wt",2015,3,NA,19.763
3,"F3_JPLL_A13_Q3_wt",2016,3,NA,32.788
3,"F3_JPLL_A13_Q3_wt",2017,3,NA,19.191
3,"F3_JPLL_A13_Q3_wt",2018,3,NA,11.732
3,"F3_JPLL_A13_Q3_wt",2019,3,NA,12.231
3,"F3_JPLL_A13_Q3_wt",2020,3,NA,24.321
3,"F3_JPLL_A13_Q3_wt",2021,3,NA,22.646
3,"F3_JPLL_A13_Q3_wt",2022,3,NA,27.079
3,"F3_JPLL_A13_Q3_wt",2023,3,NA,12.333
3,"F3_JPLL_A13_Q3_wt",2024,3,NA,37.766
4,"F4_JPLL_A13_Q3_wt",2001,3,9.503,NA
4,"F4_JPLL_A13_Q3_wt",2002,3,10.993,NA
4,"F4_JPLL_A13_Q3_wt",2003,3,11.05,NA
4,"F4_JPLL_A13_Q3_wt",2004,3,6.665,NA
4,"F4_JPLL_A13_Q3_wt",2005,3,39.905,NA
4,"F4_JPLL_A13_Q3_wt",2006,3,15.004,NA
4,"F4_JPLL_A13_Q3_wt",2007,3,22.899,NA
4,"F4_JPLL_A13_Q3_wt",2008,3,53.377,NA
4,"F4_JPLL_A13_Q3_wt",2009,3,7.019,NA
4,"F4_JPLL_A13_Q3_wt",2010,3,37.385,NA
4,"F4_JPLL_A13_Q3_wt",2011,3,26.328,NA
4,"F4_JPLL_A13_Q3_wt",2012,3,21.327,NA
4,"F4_JPLL_A13_Q3_wt",2013,3,38.289,NA
4,"F4_JPLL_A13_Q3_wt",2014,3,8.25,NA
4,"F4_JPLL_A13_Q3_wt",2015,3,6.873,NA
4,"F4_JPLL_A13_Q3_wt",2016,3,11.382,NA
4,"F4_JPLL_A13_Q3_wt",2020,3,26.094,NA
4,"F4_JPLL_A13_Q4_wt",1996,4,NA,23.542
4,"F4_JPLL_A13_Q4_wt",1999,4,NA,80.742
4,"F4_JPLL_A13_Q4_wt",2000,4,NA,51.801
4,"F4_JPLL_A13_Q4_wt",2001,4,NA,308.046
4,"F4_JPLL_A13_Q4_wt",2002,4,NA,23.938
4,"F4_JPLL_A13_Q4_wt",2003,4,NA,43.123
4,"F4_JPLL_A13_Q4_wt",2004,4,NA,137.736
4,"F4_JPLL_A13_Q4_wt",2005,4,NA,43.472
4,"F4_JPLL_A13_Q4_wt",2006,4,NA,106.012
4,"F4_JPLL_A13_Q4_wt",2007,4,NA,374.787
4,"F4_JPLL_A13_Q4_wt",2008,4,NA,91.534
4,"F4_JPLL_A13_Q4_wt",2009,4,NA,314.646
4,"F4_JPLL_A13_Q4_wt",2010,4,NA,75.58
4,"F4_JPLL_A13_Q4_wt",2011,4,NA,137.01
4,"F4_JPLL_A13_Q4_wt",2012,4,NA,87.61
4,"F4_JPLL_A13_Q4_wt",2013,4,NA,35.24
4,"F4_JPLL_A13_Q4_wt",2014,4,NA,117.392
4,"F4_JPLL_A13_Q4_wt",2015,4,NA,84.642
4,"F4_JPLL_A13_Q4_wt",2016,4,NA,70.888
4,"F4_JPLL_A13_Q4_wt",2017,4,NA,249.634
4,"F4_JPLL_A13_Q4_wt",2018,4,NA,217.162
4,"F4_JPLL_A13_Q4_wt",2019,4,NA,112.949
4,"F4_JPLL_A13_Q4_wt",2020,4,NA,78.414
4,"F4_JPLL_A13_Q4_wt",2021,4,NA,50.001
4,"F4_JPLL_A13_Q4_wt",2022,4,NA,50.089
4,"F4_JPLL_A13_Q4_wt",2023,4,NA,25.555
4,"F4_JPLL_A13_Q4_wt",2024,4,NA,32.06
5,"F5_JPLL_A13_Q4_wt",1996,4,29.22,NA
5,"F5_JPLL_A13_Q4_wt",1999,4,64.199,NA
5,"F5_JPLL_A13_Q4_wt",2000,4,40.545,NA
5,"F5_JPLL_A13_Q4_wt",2001,4,211.509,NA
5,"F5_JPLL_A13_Q4_wt",2002,4,23.203,NA
5,"F5_JPLL_A13_Q4_wt",2003,4,39.804,NA
5,"F5_JPLL_A13_Q4_wt",2004,4,131.14,NA
5,"F5_JPLL_A13_Q4_wt",2005,4,44.524,NA
5,"F5_JPLL_A13_Q4_wt",2006,4,81.069,NA
5,"F5_JPLL_A13_Q4_wt",2007,4,398.309,NA
5,"F5_JPLL_A13_Q4_wt",2008,4,186.379,NA
5,"F5_JPLL_A13_Q4_wt",2009,4,392.094,NA
5,"F5_JPLL_A13_Q4_wt",2010,4,85.121,NA
5,"F5_JPLL_A13_Q4_wt",2011,4,112.672,NA
5,"F5_JPLL_A13_Q4_wt",2012,4,78.719,NA
5,"F5_JPLL_A13_Q4_wt",2013,4,31.752,NA
5,"F5_JPLL_A13_Q4_wt",2014,4,121.957,NA
5,"F5_JPLL_A13_Q4_wt",2015,4,55.399,NA
