"Fleet","Fleet_Name","Yr","Seas","base","JPLLA35_USLLA24","JPPLA35_JPLLA13","JPPLA35_TWLLA35","TWLLA35_EPOSF"
3,"F3_JPLL_A13_Q3_wt",2009,3,9.164,9.179,9.214,9.065,9.234
3,"F3_JPLL_A13_Q3_wt",2010,3,37.64,37.527,37.166,38.728,36.944
3,"F3_JPLL_A13_Q3_wt",2011,3,25.421,25.398,25.345,25.481,25.318
3,"F3_JPLL_A13_Q3_wt",2012,3,17.791,17.786,17.743,17.872,17.714
3,"F3_JPLL_A13_Q3_wt",2013,3,46.195,46.336,46.432,45.792,46.52
3,"F3_JPLL_A13_Q3_wt",2014,3,12.899,12.852,12.755,13.182,12.693
3,"F3_JPLL_A13_Q3_wt",2015,3,19.763,19.683,19.473,20.426,19.343
3,"F3_JPLL_A13_Q3_wt",2016,3,32.788,32.741,32.642,33.06,32.579
3,"F3_JPLL_A13_Q3_wt",2017,3,19.191,19.245,19.354,18.857,19.428
3,"F3_JPLL_A13_Q3_wt",2018,3,11.732,11.762,11.819,11.552,11.858
3,"F3_JPLL_A13_Q3_wt",2019,3,12.231,12.184,12.095,12.531,12.032
3,"F3_JPLL_A13_Q3_wt",2020,3,24.321,24.268,24.241,24.388,24.202
3,"F3_JPLL_A13_Q3_wt",2021,3,22.646,22.7,22.789,22.335,22.848
3,"F3_JPLL_A13_Q3_wt",2022,3,27.079,27.118,27.152,26.815,27.232
3,"F3_JPLL_A13_Q3_wt",2023,3,12.333,12.301,12.223,12.529,12.188
3,"F3_JPLL_A13_Q3_wt",2024,3,37.766,37.689,37.718,37.701,37.711
4,"F4_JPLL_A13_Q4_wt",1996,4,23.542,23.531,23.62,23.457,23.677
4,"F4_JPLL_A13_Q4_wt",1999,4,80.742,80.915,80.893,80.387,80.877
4,"F4_JPLL_A13_Q4_wt",2000,4,51.801,52.051,52.523,49.797,52.814
4,"F4_JPLL_A13_Q4_wt",2001,4,308.046,308.151,309.114,302.027,309.933
4,"F4_JPLL_A13_Q4_wt",2002,4,23.938,23.887,23.855,24.1,23.808
4,"F4_JPLL_A13_Q4_wt",2003,4,43.123,42.99,42.934,43.474,42.811
4,"F4_JPLL_A13_Q4_wt",2004,4,137.736,136.996,135.196,144.513,133.854
4,"F4_JPLL_A13_Q4_wt",2005,4,43.472,43.39,43.013,44.856,42.811
4,"F4_JPLL_A13_Q4_wt",2006,4,106.012,105.847,104.527,109.804,104.179
4,"F4_JPLL_A13_Q4_wt",2007,4,374.787,376.312,379.295,366.547,381.968
4,"F4_JPLL_A13_Q4_wt",2008,4,91.534,91.589,90.77,94.79,90.31
4,"F4_JPLL_A13_Q4_wt",2009,4,314.646,313.177,307.949,335.213,304.582
4,"F4_JPLL_A13_Q4_wt",2010,4,75.58,75.809,76.277,74.033,76.573
4,"F4_JPLL_A13_Q4_wt",2011,4,137.01,137.153,138.195,133.405,138.815
4,"F4_JPLL_A13_Q4_wt",2012,4,87.61,87.943,88.448,85.831,88.796
4,"F4_JPLL_A13_Q4_wt",2013,4,35.24,35.253,35.282,35.082,35.291
4,"F4_JPLL_A13_Q4_wt",2014,4,117.392,117.532,118.036,115.387,118.381
4,"F4_JPLL_A13_Q4_wt",2015,4,84.642,84.831,85.158,83.327,85.37
4,"F4_JPLL_A13_Q4_wt",2016,4,70.888,70.701,69.962,73.685,69.504
4,"F4_JPLL_A13_Q4_wt",2017,4,249.634,251.503,257.676,228.987,261.45
4,"F4_JPLL_A13_Q4_wt",2018,4,217.162,218.769,221.905,207.915,224.098
