"base","aspm","aspmr","Label","Yr","recdev"
12.076,12.1738,12.0981,"SR_LN(R0)",NA,FALSE
0.0612309,0.339908,0.228441,"SR_regime_BLK1add_1993",1993,FALSE
1.36548,0.76808,1.54405,"InitF_seas_1_flt_26F26_TWLL_A35",NA,FALSE
