"base","aspm","aspmr","Label","Yr","recdev"
12.1351,12.1725,12.1119,"SR_LN(R0)",NA,FALSE
0.0337083,0.347922,0.252598,"SR_regime_BLK1add_1993",1993,FALSE
1.34799,0.783736,1.41558,"InitF_seas_1_flt_26F26_TWLL_A35",NA,FALSE
